No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Penambangan Data,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Multimedia,3
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Enkripsi,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Manajemen Informasi,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Kompresi Citra,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Sistem Informasi Geografis,4
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Pengolahan Citra,2
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Teknologi Nirkabel,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Data Besar,3
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Penambangan Teks,2
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Sistem Peramalan,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",Penerapan Augmented Reality,4
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Sistem Peramalan,3
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Data Besar,2
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Sistem Pendukung Keputusan,22
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan IoT,5
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Sistem Pakar,7
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Augmented Reality,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Enkripsi,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Information Retrieval,1
63,"Rudy Ariyanto, ST., M.Cs.",Integrasi Sistem dan Arsitektur,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Sistem Informasi Geografis,3
63,"Rudy Ariyanto, ST., M.Cs.",Multimedia,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Manajemen Informasi,4
63,"Rudy Ariyanto, ST., M.Cs.",Pengembangan Game,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan IT Forensik pada Jaringan,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Customer Relationship Management,1
63,"Rudy Ariyanto, ST., M.Cs.",Penerapan Watermarking pada Citra,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Watermarking pada Citra,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Computational Thinking,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Pengenalan Pola,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Morfologi Citra Digital,3
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Kompresi Citra,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Sistem Informasi Geografis,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Multimedia,2
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Kecerdasan Buatan,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Manajemen Informasi,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Augmented Reality,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Keamanan Data,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Filtering Citra,1
64,"Septian Enggar Sukmana, S.Pd., M.T",Penerapan Transformasi Citra,1
65,"Sofyan Noor Arief, S.ST., M.Kom.",Penerapan Keamanan Data,1
65,"Sofyan Noor Arief, S.ST., M.Kom.",Penerapan Penambangan Teks,1
65,"Sofyan Noor Arief, S.ST., M.Kom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Morfologi Citra Digital,5
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Transformasi Citra,7
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan IoT,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Sistem Pendukung Keputusan,5
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Sistem Pakar,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Data Besar,3
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Pengenalan Pola,3
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Sistem Peramalan,2
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Pengolahan Citra,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Information Retrieval,3
66,"Ulla Delfana Rosiani, ST., MT.",Multimedia,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Augmented Reality,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Kecerdasan Buatan,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Sistem Informasi Geografis,1
66,"Ulla Delfana Rosiani, ST., MT.",Pengembangan Game,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Penambangan Teks,1
66,"Ulla Delfana Rosiani, ST., MT.",Penerapan Bisnis Elektronik Sistem Informasi,1
67,"Usman Nurhasan, S.Kom., MT.",Penerapan IoT,3
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Sistem Pendukung Keputusan,2
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Kecerdasan Buatan,1
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Manajemen Informasi,1
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Information Retrieval,2
67,"Usman Nurhasan, S.Kom., MT.",Multimedia,2
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Keamanan Data,3
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Sistem Informasi Geografis,4
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Augmented Reality,10
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Sistem Peramalan,2
67,"Usman Nurhasan, S.Kom., MT.",Pengembangan Game,3
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,3
67,"Usman Nurhasan, S.Kom., MT.",Penerapan Data Besar,2
69,"Vipkas Al Hadid Firdaus, ST,. MT",Penerapan Watermarking pada Citra,1
69,"Vipkas Al Hadid Firdaus, ST,. MT",Penerapan Enkripsi,2
69,"Vipkas Al Hadid Firdaus, ST,. MT",Penerapan Data Besar,1
69,"Vipkas Al Hadid Firdaus, ST,. MT",Penerapan Penambangan Teks,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Penambangan Data,2
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Smart Living,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Sistem Pendukung Keputusan,2
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Penambangan Teks,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Data Besar,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Computational Thinking,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Enkripsi,2
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Sistem Informasi Geografis,3
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Manajemen Informasi,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Sistem Pakar,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Sistem Peramalan,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Watermarking pada Citra,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Customer Relationship Management,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Intelijen Bisnis,1
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",Penerapan Kompresi Citra,2
71,"Vivin Ayu Lestari, S.Pd",Penerapan Sistem Pakar,1
71,"Vivin Ayu Lestari, S.Pd",Computational Thinking,1
71,"Vivin Ayu Lestari, S.Pd",Penerapan Data Besar,1
71,"Vivin Ayu Lestari, S.Pd",Multimedia,1
71,"Vivin Ayu Lestari, S.Pd",Penerapan Manajemen Informasi,3
71,"Vivin Ayu Lestari, S.Pd",Penerapan Sistem Pendukung Keputusan,3
71,"Vivin Ayu Lestari, S.Pd",Penerapan Sistem Peramalan,1
71,"Vivin Ayu Lestari, S.Pd",Penerapan Augmented Reality,1
71,"Vivin Ayu Lestari, S.Pd",Penerapan IoT,1
71,"Vivin Ayu Lestari, S.Pd",Penerapan Smart Living,1
72,Wilda Imama Sabilla,Penerapan Data Besar,4
72,Wilda Imama Sabilla,Penerapan Morfologi Citra Digital,1
72,Wilda Imama Sabilla,Penerapan Sistem Peramalan,1
72,Wilda Imama Sabilla,Penerapan Pengenalan Pola,1
72,Wilda Imama Sabilla,Penerapan Sistem Informasi Geografis,1
72,Wilda Imama Sabilla,Penerapan Penambangan Teks,1
72,Wilda Imama Sabilla,Penerapan Penambangan Data,1
72,Wilda Imama Sabilla,Penerapan Augmented Reality,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Sistem Pakar,2
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Morfologi Citra Digital,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Pengenalan Pola,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Data Besar,4
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Computational Thinking,2
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Sistem Informasi Geografis,3
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Sistem Pendukung Keputusan,3
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Penambangan Teks,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Manajemen Informasi,2
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Virtualisasi Jaringan,2
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Information Retrieval,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Smart Living,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Komputasi Awan,1
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",Penerapan Sistem Peramalan,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Sistem Pakar,7
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Virtualisasi Jaringan,9
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Bisnis Elektronik Sistem Informasi,3
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Keamanan Data,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Penambangan Teks,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Manajemen Informasi,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Information Retrieval,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Sistem Peramalan,6
74,"Yuri Ariyanto, S.Kom., M.Kom.",Computational Thinking,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Sistem Informasi Geografis,8
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan IoT,5
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Teknologi Nirkabel,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Sistem Pendukung Keputusan,7
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Watermarking pada Citra,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Pengenalan Pola,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Smart Living,2
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Data Besar,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Kecerdasan Buatan,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Customer Relationship Management,1
74,"Yuri Ariyanto, S.Kom., M.Kom.",Multimedia,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Kompresi Citra,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Data Besar,3
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Penambangan Teks,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Customer Relationship Management,2
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Sistem Peramalan,3
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
75,"Yushintia Pramitarini, S.ST., MT.",Multimedia,1
75,"Yushintia Pramitarini, S.ST., MT.",Pengembangan Game,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Bisnis Elektronik Sistem Informasi,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan IoT,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Sistem Pendukung Keputusan,1
75,"Yushintia Pramitarini, S.ST., MT.",Penerapan Penambangan Data,1
77,Yan Watequlis Syaifudin,Penerapan Data Besar,4
77,Yan Watequlis Syaifudin,Penerapan Sistem Pendukung Keputusan,10
77,Yan Watequlis Syaifudin,Penerapan Sistem Informasi Geografis,4
77,Yan Watequlis Syaifudin,Penerapan Keamanan Data,2
77,Yan Watequlis Syaifudin,Penerapan Sistem Pakar,6
77,Yan Watequlis Syaifudin,Penerapan Manajemen Informasi,1
77,Yan Watequlis Syaifudin,Multimedia,3
77,Yan Watequlis Syaifudin,Penerapan Virtualisasi Jaringan,2
77,Yan Watequlis Syaifudin,Penerapan Pembelajaran Elektronik pada Sistem Informasi,2
77,Yan Watequlis Syaifudin,Penerapan IT Forensik pada Jaringan,1
77,Yan Watequlis Syaifudin,Penerapan Komputasi Awan,1
77,Yan Watequlis Syaifudin,Penerapan Sistem Peramalan,1
