No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
14,"Budi Harijanto, ST., M.MKom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,6
14,"Budi Harijanto, ST., M.MKom.",Penerapan Sistem Informasi Geografis,4
14,"Budi Harijanto, ST., M.MKom.",Penerapan Augmented Reality,2
14,"Budi Harijanto, ST., M.MKom.",Penerapan Information Retrieval,2
14,"Budi Harijanto, ST., M.MKom.",Penerapan Transformasi Citra,2
14,"Budi Harijanto, ST., M.MKom.",Computational Thinking,1
14,"Budi Harijanto, ST., M.MKom.",Penerapan IoT,2
14,"Budi Harijanto, ST., M.MKom.",Penerapan Bisnis Elektronik Sistem Informasi,2
14,"Budi Harijanto, ST., M.MKom.",Penerapan Sistem Peramalan,4
14,"Budi Harijanto, ST., M.MKom.",Penerapan Kecerdasan Buatan,3
14,"Budi Harijanto, ST., M.MKom.",Penerapan Kompresi Citra,1
14,"Budi Harijanto, ST., M.MKom.",Penerapan Pengenalan Pola,1
14,"Budi Harijanto, ST., M.MKom.",Multimedia,1
14,"Budi Harijanto, ST., M.MKom.",Penerapan Data Besar,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan IoT,4
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Sistem Informasi Geografis,3
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Sistem Pakar,4
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Sistem Peramalan,3
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Morfologi Citra Digital,7
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Transformasi Citra,5
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Information Retrieval,4
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Watermarking pada Citra,2
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Pengenalan Pola,3
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Teknologi Nirkabel,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Sistem Pendukung Keputusan,3
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Virtualisasi Jaringan,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Augmented Reality,4
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Multimedia,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Filtering Citra,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Keamanan Data,2
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Customer Relationship Management,2
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Smart Living,1
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Penerapan Kecerdasan Buatan,2
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",Pengembangan Game,2
17,"Dhebys Suryani, S.Kom., MT",Penerapan Sistem Informasi Geografis,3
17,"Dhebys Suryani, S.Kom., MT",Penerapan Transformasi Citra,1
17,"Dhebys Suryani, S.Kom., MT",Penerapan Augmented Reality,2
17,"Dhebys Suryani, S.Kom., MT",Penerapan Morfologi Citra Digital,2
17,"Dhebys Suryani, S.Kom., MT",Penerapan Sistem Peramalan,5
17,"Dhebys Suryani, S.Kom., MT",Penerapan IoT,2
17,"Dhebys Suryani, S.Kom., MT",Penerapan Keamanan Data,1
17,"Dhebys Suryani, S.Kom., MT",Penerapan Customer Relationship Management,1
17,"Dhebys Suryani, S.Kom., MT",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
17,"Dhebys Suryani, S.Kom., MT",Penerapan Information Retrieval,1
17,"Dhebys Suryani, S.Kom., MT",Penerapan Enkripsi,2
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Virtualisasi Jaringan,3
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Sistem Pakar,4
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Sistem Informasi Geografis,9
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Augmented Reality,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Sistem Pendukung Keputusan,15
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Sistem Peramalan,8
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan IoT,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,6
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Transformasi Citra,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Bisnis Elektronik Sistem Informasi,8
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Information Retrieval,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Manajemen Informasi,3
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Customer Relationship Management,2
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Keamanan Data,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Data Besar,3
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Pengembangan Game,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Morfologi Citra Digital,2
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Pengenalan Pola,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Multimedia,1
19,"Deddy Kusbianto PA, Ir., M.Mkom.",Penerapan Enkripsi,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Penambangan Teks,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Sistem Pendukung Keputusan,2
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Kecerdasan Buatan,2
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Customer Relationship Management,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Sistem Peramalan,3
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Augmented Reality,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Sistem Informasi Geografis,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan IoT,1
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Penerapan Information Retrieval,2
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",Multimedia,1
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Information Retrieval,5
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Sistem Peramalan,2
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Sistem Pendukung Keputusan,2
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan IoT,1
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Sistem Informasi Geografis,2
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Data Besar,1
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Smart Living,1
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Manajemen Informasi,1
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Penambangan Teks,2
22,"Dika Rizky Yunianto, S.Kom, M.Kom",Penerapan Sistem Pakar,1
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Bisnis Elektronik Sistem Informasi,1
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Sistem Pendukung Keputusan,13
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Transformasi Citra,2
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Information Retrieval,2
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Augmented Reality,10
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Sistem Peramalan,3
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Customer Relationship Management,3
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Manajemen Informasi,1
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan IoT,3
23,"Dimas Wahyu Wibowo, ST., MT.",Multimedia,2
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
23,"Dimas Wahyu Wibowo, ST., MT.",Computational Thinking,2
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Keamanan Data,1
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Sistem Pakar,2
23,"Dimas Wahyu Wibowo, ST., MT.",Penerapan Kecerdasan Buatan,1
24,Dodit Suprianto SKom. MT.,Multimedia,2
24,Dodit Suprianto SKom. MT.,Penerapan Pengenalan Pola,1
24,Dodit Suprianto SKom. MT.,Penerapan Augmented Reality,1
24,Dodit Suprianto SKom. MT.,Penerapan Sistem Informasi Geografis,3
24,Dodit Suprianto SKom. MT.,Penerapan IoT,4
24,Dodit Suprianto SKom. MT.,Computational Thinking,1
24,Dodit Suprianto SKom. MT.,Penerapan Sistem Pendukung Keputusan,2
24,Dodit Suprianto SKom. MT.,Penerapan Enkripsi,1
24,Dodit Suprianto SKom. MT.,Penerapan Customer Relationship Management,1
24,Dodit Suprianto SKom. MT.,Penerapan Kecerdasan Buatan,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Sistem Peramalan,7
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Bisnis Elektronik Sistem Informasi,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Data Besar,10
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Morfologi Citra Digital,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Keamanan Data,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Information Retrieval,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Sistem Informasi Geografis,4
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Sistem Pakar,7
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Sistem Pendukung Keputusan,16
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Kompresi Citra,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Computational Thinking,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Penambangan Data,2
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Penambangan Teks,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Skalabilitas dan Analitik Data,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Transformasi Citra,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Customer Relationship Management,2
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Manajemen Informasi,6
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Virtualisasi Jaringan,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Multimedia,5
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Pengenalan Pola,2
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Smart Living,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan IoT,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,3
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Augmented Reality,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Pengolahan Citra,1
25,"Dwi Puspitasari, S.Kom., M.Kom.",Penerapan Teknologi Jaringan,2
