3,"Ahmadi Yuli Ananta, ST., M.M.",39,IMPLEMENTASI METODE TIME SERIES UNTUK MERAMALKAN PENJUALAN DAN PRODUKSI STUDI KASUS TOKO GERAI PRINT DI SIDOARJO,Information System,Penerapan Sistem Peramalan,9.753779331090435e-32,0
3,"Ahmadi Yuli Ananta, ST., M.M.",40,IMPLEMENTASI ALGORITMA APRIORI PADA PENGELOLAAN PERSEDIAAN OBAT STUDI KASUS DI APOTEK INA NUSANTARA KABUPATEN SITUBONDO,Sistem Cerdas,Penerapan Data Besar,4.1625263752614845e-31,0
3,"Ahmadi Yuli Ananta, ST., M.M.",41,GAME EDUKASI �SUPRIJADI DON�T LOSS YOUR TOWER� BERBASIS ANDROID,Multimedia dan Game,Pengembangan Game,8.524210064517621e-23,0
3,"Ahmadi Yuli Ananta, ST., M.M.",42,RANCANG BANGUN GAME FIGHTING 2D �THE HISTORY OF GAJAH MADA� BERBASIS ANDROID,Multimedia dan Game,Pengembangan Game,6.147887518569654e-47,0
3,"Ahmadi Yuli Ananta, ST., M.M.",43,RANCANG BANGUN GAME EDUKASI �SAVIOR OF PHOTOSYNTHESIS� 2D DENGAN FUZZY,Multimedia dan Game,Pengembangan Game,1.046886132715709e-40,0
3,"Ahmadi Yuli Ananta, ST., M.M.",44,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,Information System,Penerapan Sistem Pendukung Keputusan,2.310580076348155e-19,0
3,"Ahmadi Yuli Ananta, ST., M.M.",45,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN TUMBUHAN HERBAL UNTUK OBAT PENYAKIT DALAM DENGAN MENGGUNAKAN METODE AHP,Information System,Penerapan Sistem Pendukung Keputusan,1.1222246554437961e-26,0
3,"Ahmadi Yuli Ananta, ST., M.M.",46,PENCARIAN JALUR TERPENDEK UNTUK PENJEMPUTAN BARANG KIRIMAN PELANGGAN MITRA STUDI KASUS PADA KANTOR POS MALANG,Information System,Penerapan Sistem Informasi Geografis,1.6396348418566122e-79,0
4,"Annisa Puspa Kirana., M.Kom",47,Spatio Temporal Clustering Titik Panas pada Lahan Gambut di Sumatera Menggunakan Proses Pengelompokan Poisson,Sistem Cerdas,Penerapan Data Besar,7.207144448167999e-22,0
4,"Annisa Puspa Kirana., M.Kom",48,PENGEMBANGAN SISTEM INFORMASI ALUMNI BERBASIS WEB FAKULTAS SAINS DAN TEKNOLOGI UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,4.138817630971102e-35,0
4,"Annisa Puspa Kirana., M.Kom",49,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,Computer Vision,Penerapan Watermarking pada Citra,9.275728652809606e-163,0
4,"Annisa Puspa Kirana., M.Kom",50,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,Information System,Penerapan Sistem Pendukung Keputusan,1.233824228164176e-79,0
4,"Annisa Puspa Kirana., M.Kom",51,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,Sistem Cerdas,Penerapan Penambangan Teks,2.4771201273564252e-95,0
4,"Annisa Puspa Kirana., M.Kom",52,Sistem Pakar Diagnosa Penyakit Kelamin Menular Pada Laki-laki Dengan Metode Dempster Shafer,Sistem Cerdas,Penerapan Sistem Pakar,1.0094743214896275e-34,0
4,"Annisa Puspa Kirana., M.Kom",53,SPATIO-TEMPORAL DATA MINING PADA DATA HOTSPOT SEBAGAI INDIKATOR KEBAKARAN HUTAN DAN LAHAN GAMBUT DI PROVINSI RIAU,Sistem Cerdas,Penerapan Penambangan Data,5.5955712327024174e-30,0
5,"Annisa Taufika Firdausi, ST., MT.",54,Analisis Sentimen Pada Twitter Mengenai Pasca Bencana Menggunakan Metode Naive Bayes Dengan Fitur N-Gram,Sistem Cerdas,Penerapan Penambangan Teks,1.8388032559915927e-61,0
5,"Annisa Taufika Firdausi, ST., MT.",55,Penerapa Metode Hierarchical Clustering dan K-means Clustering untuk Mengelompokkan Potensi Lokasi Penjualan LINKAJA,Sistem Cerdas,Penerapan Data Besar,1.5480594395174166e-51,0
5,"Annisa Taufika Firdausi, ST., MT.",56,PENGEMBANGAN SISTEM ANALISA KEBERPIHAKAN MEDIA ONLINE BERDASARKAN TREND WAKTU MENGGUNAKAN NAIVE BAYES CLASSIFIER,Sistem Cerdas,Penerapan Data Besar,4.9568186226080424e-62,0
5,"Annisa Taufika Firdausi, ST., MT.",57,Implementasi Backward Chaining untuk Diagnosis Low Soft Handover Success Rate pada Jaringan WCDMA,Sistem Cerdas,Penerapan Sistem Pakar,9.458626734962014e-21,0
5,"Annisa Taufika Firdausi, ST., MT.",58,Penentuan Bahan Makanan Untuk Itik Petelur Menggunakan Algoritma Genetika,Sistem Cerdas,Penerapan Penambangan Data,5.886191551378623e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",59,Sistem Pendukung Keputusan Penerima Kredit UKM Menggunakan Metode Weighted Aggregated Sum Product Assessment Studi Kasus BANK BPR Jatim Cabang Magetan,Information System,Penerapan Sistem Pendukung Keputusan,5.075580971673067e-89,0
5,"Annisa Taufika Firdausi, ST., MT.",60,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,Information System,Penerapan Sistem Pendukung Keputusan,9.076857463535658e-55,0
5,"Annisa Taufika Firdausi, ST., MT.",61,Aplikasi Android dengan Online First Approach dan Local Database Cache,Computer Network,Penerapan Enkripsi,2.1243233915274185e-42,0
5,"Annisa Taufika Firdausi, ST., MT.",62,PENENTUAN BAHAN MAKANAN UNTUK ITIK PETELUR MENGGUNAKAN ALGORITMA GENETIKA,Sistem Cerdas,Penerapan Penambangan Data,5.886191551378623e-39,0
5,"Annisa Taufika Firdausi, ST., MT.",63,APLIKASI PENGHITUNG KOLONI BAKTERI BERBASIS ANDROID,Multimedia dan Game,Penerapan Augmented Reality,3.2049604238009144e-26,0
